,Mot1,Mot2,Cat1,Cat2,Sem1,Sem2
23423,déboiseuse,déboisement,Ncfs,Ncms,@AGF,@ACT
23424,déboiseuse,déboisement,Ncfs,Ncms,@AGF,@RES
23425,déboiseuse,déboiser,Ncfs,Vmn----,@AGF,@
23426,déboiseuse,déboiser,Ncfs,Vmn----,@AGF,@
23525,déboucheur,débouchage,Ncms,Ncms,@AGM,@ACT
23526,déboucheur,débouchage,Ncms,Ncms,@AGM,@RES
23527,déboucheur,débouchement,Ncms,Ncms,@AGM,@ACT
23528,déboucheur,débouchement,Ncms,Ncms,@AGM,@RES
23529,déboucheur,déboucher,Ncms,Vmn----,@AGM,@
23530,déboucheur,déboucher,Ncms,Vmn----,@AGM,@
23643,débourreur,débourrage,Ncms,Ncms,@AGM,@ACT
23644,débourreur,débourrage,Ncms,Ncms,@AGM,@RES
23645,débourreur,débourrement,Ncms,Ncms,@AGM,@ACT
23646,débourreur,débourrement,Ncms,Ncms,@AGM,@RES
23647,débourreur,débourrer,Ncms,Vmn----,@AGM,@
23648,débourreur,débourrer,Ncms,Vmn----,@AGM,@
23649,débourreur,débourreuse,Ncms,Ncfs,@AGM,@AGF
23650,débourreuse,débourrage,Ncfs,Ncms,@AGF,@ACT
23651,débourreuse,débourrage,Ncfs,Ncms,@AGF,@RES
23652,débourreuse,débourrement,Ncfs,Ncms,@AGF,@ACT
23653,débourreuse,débourrement,Ncfs,Ncms,@AGF,@RES
23654,débourreuse,débourrer,Ncfs,Vmn----,@AGF,@
23655,débourreuse,débourrer,Ncfs,Vmn----,@AGF,@
23656,débourreuse,débourreur,Ncfs,Ncms,@AGF,@AGM
23799,débrouilleur,débrouillage,Ncms,Ncms,@AGM,@ACT
23800,débrouilleur,débrouillage,Ncms,Ncms,@AGM,@RES
23801,débrouilleur,débrouillement,Ncms,Ncms,@AGM,@ACT
23802,débrouilleur,débrouillement,Ncms,Ncms,@AGM,@RES
23803,débrouilleur,débrouiller,Ncms,Vmn----,@AGM,@
23804,débrouilleur,débrouiller,Ncms,Vmn----,@AGM,@
23805,débrouilleur,débrouilleuse,Ncms,Ncfs,@AGM,@AGF
23806,débrouilleuse,débrouillage,Ncfs,Ncms,@AGF,@ACT
23807,débrouilleuse,débrouillage,Ncfs,Ncms,@AGF,@RES
23808,débrouilleuse,débrouillement,Ncfs,Ncms,@AGF,@ACT
23809,débrouilleuse,débrouillement,Ncfs,Ncms,@AGF,@RES
23810,débrouilleuse,débrouiller,Ncfs,Vmn----,@AGF,@
23811,débrouilleuse,débrouiller,Ncfs,Vmn----,@AGF,@
23812,débrouilleuse,débrouilleur,Ncfs,Ncms,@AGF,@AGM
23850,débroussailleur,débroussaillage,Ncms,Ncms,@AGM,@ACT
23851,débroussailleur,débroussaillage,Ncms,Ncms,@AGM,@RES
23852,débroussailleur,débroussaillement,Ncms,Ncms,@AGM,@ACT
23853,débroussailleur,débroussaillement,Ncms,Ncms,@AGM,@RES
23854,débroussailleur,débroussailler,Ncms,Vmn----,@AGM,@
23855,débroussailleur,débroussailler,Ncms,Vmn----,@AGM,@
23856,débroussailleur,débroussailleuse,Ncms,Ncfs,@AGM,@AGF
23857,débroussailleuse,débroussaillage,Ncfs,Ncms,@AGF,@ACT
23858,débroussailleuse,débroussaillage,Ncfs,Ncms,@AGF,@RES
23859,débroussailleuse,débroussaillement,Ncfs,Ncms,@AGF,@ACT
23860,débroussailleuse,débroussaillement,Ncfs,Ncms,@AGF,@RES
23861,débroussailleuse,débroussailler,Ncfs,Vmn----,@AGF,@
23862,débroussailleuse,débroussailler,Ncfs,Vmn----,@AGF,@
23863,débroussailleuse,débroussailleur,Ncfs,Ncms,@AGF,@AGM
23942,décacheteur,décachetage,Ncms,Ncms,@AGM,@ACT
23943,décacheteur,décachetage,Ncms,Ncms,@AGM,@RES
23944,décacheteur,décacheter,Ncms,Vmn----,@AGM,@
23945,décacheteur,décacheter,Ncms,Vmn----,@AGM,@
23946,décacheteur,décacheteuse,Ncms,Ncfs,@AGM,@AGF
23947,décacheteuse,décachetage,Ncfs,Ncms,@AGF,@ACT
23948,décacheteuse,décachetage,Ncfs,Ncms,@AGF,@RES
23949,décacheteuse,décacheter,Ncfs,Vmn----,@AGF,@
23950,décacheteuse,décacheter,Ncfs,Vmn----,@AGF,@
23951,décacheteuse,décacheteur,Ncfs,Ncms,@AGF,@AGM
24005,décalâbreur,décalâbrage,Ncms,Ncms,@AGM,@ACT
24006,décalâbreur,décalâbrage,Ncms,Ncms,@AGM,@RES
24007,décalâbreur,décalâbrer,Ncms,Vmn----,@AGM,@
24008,décalâbreur,décalâbrer,Ncms,Vmn----,@AGM,@
24137,décanteur,décantage,Ncms,Ncms,@AGM,@ACT
24138,décanteur,décantage,Ncms,Ncms,@AGM,@RES
24139,décanteur,décantation,Ncms,Ncfs,@AGM,@ACT
24140,décanteur,décantation,Ncms,Ncfs,@AGM,@RES
24141,décanteur,décantement,Ncms,Ncms,@AGM,@ACT
24142,décanteur,décantement,Ncms,Ncms,@AGM,@RES
24143,décanteur,décanter,Ncms,Vmn----,@AGM,@
24144,décanteur,décanter,Ncms,Vmn----,@AGM,@
24173,décapeur,décapage,Ncms,Ncms,@AGM,@ACT
24174,décapeur,décapage,Ncms,Ncms,@AGM,@RES
24175,décapeur,décaper,Ncms,Vmn----,@AGM,@
24176,décapeur,décaper,Ncms,Vmn----,@AGM,@
24209,décapsuleur,décapsuler,Ncms,Vmn----,@AGM,@
24210,décapsuleur,décapsuler,Ncms,Vmn----,@AGM,@
24339,décatisseur,décatir,Ncms,Vmn----,@AGM,@
24340,décatisseur,décatir,Ncms,Vmn----,@AGM,@
24341,décatisseur,décatissage,Ncms,Ncms,@AGM,@ACT
24342,décatisseur,décatissage,Ncms,Ncms,@AGM,@RES
24343,décatisseur,décatissement,Ncms,Ncms,@AGM,@ACT
24344,décatisseur,décatissement,Ncms,Ncms,@AGM,@RES
24345,décatisseur,décatisseuse,Ncms,Ncfs,@AGM,@AGF
24346,décatisseuse,décatir,Ncfs,Vmn----,@AGF,@
24347,décatisseuse,décatir,Ncfs,Vmn----,@AGF,@
24348,décatisseuse,décatissage,Ncfs,Ncms,@AGF,@ACT
24349,décatisseuse,décatissage,Ncfs,Ncms,@AGF,@RES
24350,décatisseuse,décatissement,Ncfs,Ncms,@AGF,@ACT
24351,décatisseuse,décatissement,Ncfs,Ncms,@AGF,@RES
24352,décatisseuse,décatisseur,Ncfs,Ncms,@AGF,@AGM
24386,décembriseur,décembre,Ncms,Ncms,@AGM,@ACT
24387,décembriseur,décembre,Ncms,Ncms,@AGM,@RES
24395,décentralisateur,décentralisation,Ncms,Ncfs,@AGM,@ACT
24396,décentralisateur,décentralisation,Ncms,Ncfs,@AGM,@RES
24397,décentralisateur,décentralisatrice,Ncms,Ncfs,@AGM,@AGF
24398,décentralisateur,décentraliser,Ncms,Vmn----,@AGM,@
24399,décentralisateur,décentraliser,Ncms,Vmn----,@AGM,@
24409,décentralisatrice,décentralisateur,Ncfs,Ncms,@AGF,@AGM
24410,décentralisatrice,décentralisation,Ncfs,Ncfs,@AGF,@ACT
24411,décentralisatrice,décentralisation,Ncfs,Ncfs,@AGF,@RES
24412,décentralisatrice,décentraliser,Ncfs,Vmn----,@AGF,@
24413,décentralisatrice,décentraliser,Ncfs,Vmn----,@AGF,@
24490,décerveleur,décervelage,Ncms,Ncms,@AGM,@ACT
24491,décerveleur,décervelage,Ncms,Ncms,@AGM,@RES
24492,décerveleur,décerveler,Ncms,Vmn----,@AGM,@
24493,décerveleur,décerveler,Ncms,Vmn----,@AGM,@
24527,déchargeur,déchargement,Ncms,Ncms,@AGM,@ACT
24528,déchargeur,déchargement,Ncms,Ncms,@AGM,@RES
24529,déchargeur,décharger,Ncms,Vmn----,@AGM,@
24530,déchargeur,décharger,Ncms,Vmn----,@AGM,@
24577,déchaumeur,déchaumage,Ncms,Ncms,@AGM,@ACT
24578,déchaumeur,déchaumage,Ncms,Ncms,@AGM,@RES
24579,déchaumeur,déchaumer,Ncms,Vmn----,@AGM,@
24580,déchaumeur,déchaumer,Ncms,Vmn----,@AGM,@
24581,déchaumeur,déchaumeuse,Ncms,Ncfs,@AGM,@AGF
24582,déchaumeuse,déchaumage,Ncfs,Ncms,@AGF,@ACT
24583,déchaumeuse,déchaumage,Ncfs,Ncms,@AGF,@RES
24584,déchaumeuse,déchaumer,Ncfs,Vmn----,@AGF,@
24585,déchaumeuse,déchaumer,Ncfs,Vmn----,@AGF,@
24586,déchaumeuse,déchaumeur,Ncfs,Ncms,@AGF,@AGM
24648,déchiffreur,déchiffrage,Ncms,Ncms,@AGM,@ACT
24649,déchiffreur,déchiffrage,Ncms,Ncms,@AGM,@RES
24650,déchiffreur,déchiffrement,Ncms,Ncms,@AGM,@ACT
24651,déchiffreur,déchiffrement,Ncms,Ncms,@AGM,@RES
24652,déchiffreur,déchiffrer,Ncms,Vmn----,@AGM,@
24653,déchiffreur,déchiffrer,Ncms,Vmn----,@AGM,@
24654,déchiffreur,déchiffreuse,Ncms,Ncfs,@AGM,@AGF
24655,déchiffreuse,déchiffrage,Ncfs,Ncms,@AGF,@ACT
24656,déchiffreuse,déchiffrage,Ncfs,Ncms,@AGF,@RES
24657,déchiffreuse,déchiffrement,Ncfs,Ncms,@AGF,@ACT
24658,déchiffreuse,déchiffrement,Ncfs,Ncms,@AGF,@RES
24659,déchiffreuse,déchiffrer,Ncfs,Vmn----,@AGF,@
24660,déchiffreuse,déchiffrer,Ncfs,Vmn----,@AGF,@
24661,déchiffreuse,déchiffreur,Ncfs,Ncms,@AGF,@AGM
24686,déchiqueteur,déchiquetage,Ncms,Ncms,@AGM,@ACT
24687,déchiqueteur,déchiquetage,Ncms,Ncms,@AGM,@RES
24688,déchiqueteur,déchiqueter,Ncms,Vmn----,@AGM,@
24689,déchiqueteur,déchiqueter,Ncms,Vmn----,@AGM,@
24690,déchiqueteur,déchiqueteuse,Ncms,Ncfs,@AGM,@AGF
24691,déchiqueteuse,déchiquetage,Ncfs,Ncms,@AGF,@ACT
24692,déchiqueteuse,déchiquetage,Ncfs,Ncms,@AGF,@RES
24693,déchiqueteuse,déchiqueter,Ncfs,Vmn----,@AGF,@
24694,déchiqueteuse,déchiqueter,Ncfs,Vmn----,@AGF,@
24695,déchiqueteuse,déchiqueteur,Ncfs,Ncms,@AGF,@AGM
24726,déchireur,déchirage,Ncms,Ncms,@AGM,@ACT
24727,déchireur,déchirage,Ncms,Ncms,@AGM,@RES
24728,déchireur,déchirement,Ncms,Ncms,@AGM,@ACT
24729,déchireur,déchirement,Ncms,Ncms,@AGM,@RES
24730,déchireur,déchirer,Ncms,Vmn----,@AGM,@
24731,déchireur,déchirer,Ncms,Vmn----,@AGM,@
24743,déchristianisateur,déchristianisation,Ncms,Ncfs,@AGM,@ACT
24744,déchristianisateur,déchristianisation,Ncms,Ncfs,@AGM,@RES
24745,déchristianisateur,déchristianisatrice,Ncms,Ncfs,@AGM,@AGF
24746,déchristianisateur,déchristianiser,Ncms,Vmn----,@AGM,@
24747,déchristianisateur,déchristianiser,Ncms,Vmn----,@AGM,@
24757,déchristianisatrice,déchristianisateur,Ncfs,Ncms,@AGF,@AGM
24758,déchristianisatrice,déchristianisation,Ncfs,Ncfs,@AGF,@ACT
24759,déchristianisatrice,déchristianisation,Ncfs,Ncfs,@AGF,@RES
24760,déchristianisatrice,déchristianiser,Ncfs,Vmn----,@AGF,@
24761,déchristianisatrice,déchristianiser,Ncfs,Vmn----,@AGF,@
24784,décimateur,décimation,Ncms,Ncfs,@AGM,@ACT
24785,décimateur,décimation,Ncms,Ncfs,@AGM,@RES
24786,décimateur,décimer,Ncms,Vmn----,@AGM,@
24787,décimateur,décimer,Ncms,Vmn----,@AGM,@
24835,déclamateur,déclamatif,Ncms,Afpms,@AGM,@PRP
24836,déclamateur,déclamation,Ncms,Ncfs,@AGM,@ACT
24837,déclamateur,déclamation,Ncms,Ncfs,@AGM,@RES
24838,déclamateur,déclamatrice,Ncms,Ncfs,@AGM,@AGF
24839,déclamateur,déclamer,Ncms,Vmn----,@AGM,@
24840,déclamateur,déclamer,Ncms,Vmn----,@AGM,@
24861,déclamatrice,déclamateur,Ncfs,Ncms,@AGF,@AGM
24862,déclamatrice,déclamatif,Ncfs,Afpms,@AGF,@PRP
24863,déclamatrice,déclamation,Ncfs,Ncfs,@AGF,@ACT
24864,déclamatrice,déclamation,Ncfs,Ncfs,@AGF,@RES
24865,déclamatrice,déclamer,Ncfs,Vmn----,@AGF,@
24866,déclamatrice,déclamer,Ncfs,Vmn----,@AGF,@
24943,déclencheur,déclenchement,Ncms,Ncms,@AGM,@ACT
24944,déclencheur,déclenchement,Ncms,Ncms,@AGM,@RES
24945,déclencheur,déclencher,Ncms,Vmn----,@AGM,@
24946,déclencheur,déclencher,Ncms,Vmn----,@AGM,@
24959,déclinateur,déclination,Ncms,Ncfs,@AGM,@ACT
24960,déclinateur,déclination,Ncms,Ncfs,@AGM,@RES
24961,déclinateur,déclinement,Ncms,Ncms,@AGM,@ACT
24962,déclinateur,déclinement,Ncms,Ncms,@AGM,@RES
24963,déclinateur,décliner,Ncms,Vmn----,@AGM,@
24964,déclinateur,déclineur,Ncms,Ncms,@AGM,@AGM
25001,déclineur,déclinateur,Ncms,Ncms,@AGM,@AGM
25002,déclineur,déclination,Ncms,Ncfs,@AGM,@ACT
25003,déclineur,déclination,Ncms,Ncfs,@AGM,@RES
25004,déclineur,déclinement,Ncms,Ncms,@AGM,@ACT
25005,déclineur,déclinement,Ncms,Ncms,@AGM,@RES
25006,déclineur,décliner,Ncms,Vmn----,@AGM,@
25190,décolleteur,décolletage,Ncms,Ncms,@AGM,@ACT
25191,décolleteur,décolletage,Ncms,Ncms,@AGM,@RES
25192,décolleteur,décolleter,Ncms,Vmn----,@AGM,@
25193,décolleteur,décolleter,Ncms,Vmn----,@AGM,@
25194,décolleteur,décolleteuse,Ncms,Ncfs,@AGM,@AGF
25195,décolleteuse,décolletage,Ncfs,Ncms,@AGF,@ACT
25196,décolleteuse,décolletage,Ncfs,Ncms,@AGF,@RES
25197,décolleteuse,décolleter,Ncfs,Vmn----,@AGF,@
25198,décolleteuse,décolleter,Ncfs,Vmn----,@AGF,@
25199,décolleteuse,décolleteur,Ncfs,Ncms,@AGF,@AGM
25200,décolleur,décollage,Ncms,Ncms,@AGM,@ACT
25201,décolleur,décollage,Ncms,Ncms,@AGM,@RES
25202,décolleur,décollement,Ncms,Ncms,@AGM,@ACT
25203,décolleur,décollement,Ncms,Ncms,@AGM,@RES
25204,décolleur,décoller,Ncms,Vmn----,@AGM,@
25205,décolleur,décoller,Ncms,Vmn----,@AGM,@
25226,décolteur,décolleter,Ncms,Vmn----,@AGM,@
25272,décompositeur,décomposer,Ncms,Vmn----,@AGM,@
25273,décompositeur,décomposer,Ncms,Vmn----,@AGM,@
25274,décompositeur,décomposition,Ncms,Ncfs,@AGM,@ACT
25275,décompositeur,décomposition,Ncms,Ncfs,@AGM,@RES
25291,décompresseur,décompresser,Ncms,Vmn----,@AGM,@
25292,décompresseur,décompresser,Ncms,Vmn----,@AGM,@
25293,décompresseur,décompressif,Ncms,Afpms,@AGM,@PRP
25294,décompresseur,décompression,Ncms,Ncfs,@AGM,@ACT
25295,décompresseur,décompression,Ncms,Ncfs,@AGM,@RES
25296,décompresseur,décomprimer,Ncms,Vmn----,@AGM,@
25425,décorateur,décoratif,Ncms,Afpms,@AGM,@PRP
25426,décorateur,décoration,Ncms,Ncfs,@AGM,@ACT
25427,décorateur,décoration,Ncms,Ncfs,@AGM,@RES
25428,décorateur,décoratrice,Ncms,Ncfs,@AGM,@AGF
25429,décorateur,décorer,Ncms,Vmn----,@AGM,@
25449,décoratrice,décorateur,Ncfs,Ncms,@AGF,@AGM
25450,décoratrice,décoratif,Ncfs,Afpms,@AGF,@PRP
25451,décoratrice,décoration,Ncfs,Ncfs,@AGF,@ACT
25452,décoratrice,décoration,Ncfs,Ncfs,@AGF,@RES
25453,décoratrice,décorer,Ncfs,Vmn----,@AGF,@
25486,décortiqueur,décortiquer,Ncms,Vmn----,@AGM,@
25530,découpeur,découpage,Ncms,Ncms,@AGM,@ACT
25531,découpeur,découpage,Ncms,Ncms,@AGM,@RES
25532,découpeur,découper,Ncms,Vmn----,@AGM,@
25533,découpeur,découper,Ncms,Vmn----,@AGM,@
25534,découpeur,découpeuse,Ncms,Ncfs,@AGM,@AGF
25535,découpeuse,découpage,Ncfs,Ncms,@AGF,@ACT
25536,découpeuse,découpage,Ncfs,Ncms,@AGF,@RES
25537,découpeuse,découper,Ncfs,Vmn----,@AGF,@
25538,découpeuse,découper,Ncfs,Vmn----,@AGF,@
25539,découpeuse,découpeur,Ncfs,Ncms,@AGF,@AGM
25569,décourageateur,décourageatrice,Ncms,Ncfs,@AGM,@AGF
25570,décourageateur,décourager,Ncms,Vmn----,@AGM,@
25571,décourageatrice,décourageateur,Ncfs,Ncms,@AGF,@AGM
25572,décourageatrice,décourager,Ncfs,Vmn----,@AGF,@
25593,décourageur,découragement,Ncms,Ncms,@AGM,@ACT
25594,décourageur,découragement,Ncms,Ncms,@AGM,@RES
25595,décourageur,décourager,Ncms,Vmn----,@AGM,@
25596,décourageur,décourager,Ncms,Vmn----,@AGM,@
25597,décourageur,décourageuse,Ncms,Ncfs,@AGM,@AGF
25598,décourageuse,découragement,Ncfs,Ncms,@AGF,@ACT
25599,décourageuse,découragement,Ncfs,Ncms,@AGF,@RES
25600,décourageuse,décourager,Ncfs,Vmn----,@AGF,@
25601,décourageuse,décourager,Ncfs,Vmn----,@AGF,@
25602,décourageuse,décourageur,Ncfs,Ncms,@AGF,@AGM
25616,découvreur,découvrir,Ncms,Vmn----,@AGM,@
25653,décrasseur,décrassage,Ncms,Ncms,@AGM,@ACT
25654,décrasseur,décrassage,Ncms,Ncms,@AGM,@RES
25655,décrasseur,décrassement,Ncms,Ncms,@AGM,@ACT
25656,décrasseur,décrassement,Ncms,Ncms,@AGM,@RES
25657,décrasseur,décrasser,Ncms,Vmn----,@AGM,@
25658,décrasseur,décrasser,Ncms,Vmn----,@AGM,@
25689,décréteur,décréter,Ncms,Vmn----,@AGM,@
25690,décréteur,décréter,Ncms,Vmn----,@AGM,@
25749,décrocheur,décrochage,Ncms,Ncms,@AGM,@ACT
25750,décrocheur,décrochage,Ncms,Ncms,@AGM,@RES
25751,décrocheur,décrochement,Ncms,Ncms,@AGM,@ACT
25752,décrocheur,décrochement,Ncms,Ncms,@AGM,@RES
25753,décrocheur,décrocher,Ncms,Vmn----,@AGM,@
25754,décrocheur,décrocher,Ncms,Vmn----,@AGM,@
25786,décrotteur,décrottage,Ncms,Ncms,@AGM,@ACT
25787,décrotteur,décrottage,Ncms,Ncms,@AGM,@RES
25788,décrotteur,décrotter,Ncms,Vmn----,@AGM,@
25789,décrotteur,décrotter,Ncms,Vmn----,@AGM,@
25790,décrotteur,décrotteuse,Ncms,Ncfs,@AGM,@AGF
25791,décrotteuse,décrottage,Ncfs,Ncms,@AGF,@ACT
25792,décrotteuse,décrottage,Ncfs,Ncms,@AGF,@RES
25793,décrotteuse,décrotter,Ncfs,Vmn----,@AGF,@
25794,décrotteuse,décrotter,Ncfs,Vmn----,@AGF,@
25795,décrotteuse,décrotteur,Ncfs,Ncms,@AGF,@AGM
25853,décrypteur,décryptage,Ncms,Ncms,@AGM,@ACT
25854,décrypteur,décryptage,Ncms,Ncms,@AGM,@RES
25855,décrypteur,décryptement,Ncms,Ncms,@AGM,@ACT
25856,décrypteur,décryptement,Ncms,Ncms,@AGM,@RES
25857,décrypteur,décrypter,Ncms,Vmn----,@AGM,@
25858,décrypteur,décrypter,Ncms,Vmn----,@AGM,@
25905,dédaigneur,dédaigner,Ncms,Vmn----,@AGM,@
25906,dédaigneur,dédaigneuse,Ncms,Ncfs,@AGM,@AGF
25907,dédaigneuse,dédaigneur,Ncfs,Ncms,@AGF,@AGM
25983,déducteur,déductif,Ncms,Afpms,@AGM,@PRP
25984,déducteur,déduction,Ncms,Ncfs,@AGM,@ACT
25985,déducteur,déduction,Ncms,Ncfs,@AGM,@RES
25986,déducteur,déduire,Ncms,Vmn----,@AGM,@
25987,déducteur,déduire,Ncms,Vmn----,@AGM,@
26024,défaiseur,défaire,Ncms,Vmn----,@AGM,@
26025,défaiseur,défaiseuse,Ncms,Ncfs,@AGM,@AGF
26026,défaiseuse,défaire,Ncfs,Vmn----,@AGF,@
26027,défaiseuse,défaiseur,Ncfs,Ncms,@AGF,@AGM
26041,défécateur,défécation,Ncms,Ncfs,@AGM,@ACT
26042,défécateur,défécation,Ncms,Ncfs,@AGM,@RES
26043,défécateur,déféquer,Ncms,Vmn----,@AGM,@
26059,défendeur,défendre,Ncms,Vmn----,@AGM,@
26060,défendeur,défendre,Ncms,Vmn----,@AGM,@
26089,défenestreur,défenestration,Ncms,Ncfs,@AGM,@ACT
26090,défenestreur,défenestration,Ncms,Ncfs,@AGM,@RES
26091,défenestreur,défenestrer,Ncms,Vmn----,@AGM,@
26092,défenestreur,défenestrer,Ncms,Vmn----,@AGM,@
26096,défenseur,défendre,Ncms,Vmn----,@AGM,@
26097,défenseur,défensif,Ncms,Afpms,@AGM,@PRP
26165,défibrateur,défibrer,Ncms,Vmn----,@AGM,@
26176,défibreur,défibrage,Ncms,Ncms,@AGM,@ACT
26177,défibreur,défibrage,Ncms,Ncms,@AGM,@RES
26178,défibreur,défibrer,Ncms,Vmn----,@AGM,@
26179,défibreur,défibrer,Ncms,Vmn----,@AGM,@
26180,défibrillateur,défibrillation,Ncms,Ncfs,@AGM,@ACT
26181,défibrillateur,défibrillation,Ncms,Ncfs,@AGM,@RES
26182,défibrillateur,défibriller,Ncms,Vmn----,@AGM,@
26258,définisseur,définir,Ncms,Vmn----,@AGM,@
26259,définisseur,définir,Ncms,Vmn----,@AGM,@
26260,définiteur,définitif,Ncms,Afpms,@AGM,@PRP
26261,définiteur,définition,Ncms,Ncfs,@AGM,@ACT
26262,définiteur,définition,Ncms,Ncfs,@AGM,@RES
26279,déflagrateur,déflagration,Ncms,Ncfs,@AGM,@ACT
26280,déflagrateur,déflagration,Ncms,Ncfs,@AGM,@RES
26281,déflagrateur,déflagrer,Ncms,Vmn----,@AGM,@
26282,déflagrateur,déflagrer,Ncms,Vmn----,@AGM,@
26303,déflecteur,défléchir,Ncms,Vmn----,@AGM,@
26304,déflegmateur,déflegmation,Ncms,Ncfs,@AGM,@ACT
26305,déflegmateur,déflegmation,Ncms,Ncfs,@AGM,@RES
26306,déflegmateur,déflegmer,Ncms,Vmn----,@AGM,@
26333,déflorateur,défloration,Ncms,Ncfs,@AGM,@ACT
26334,déflorateur,défloration,Ncms,Ncfs,@AGM,@RES
26335,déflorateur,déflorer,Ncms,Vmn----,@AGM,@
26336,déflorateur,déflorer,Ncms,Vmn----,@AGM,@
26388,défonceur,défoncement,Ncms,Ncms,@AGM,@ACT
26389,défonceur,défoncement,Ncms,Ncms,@AGM,@RES
26390,défonceur,défoncer,Ncms,Vmn----,@AGM,@
26391,défonceur,défoncer,Ncms,Vmn----,@AGM,@
26392,défonceur,défonceuse,Ncms,Ncfs,@AGM,@AGF
26393,défonceuse,défonçage,Ncfs,Ncms,@AGF,@ACT
26394,défonceuse,défonçage,Ncfs,Ncms,@AGF,@RES
26395,défonceuse,défoncement,Ncfs,Ncms,@AGF,@ACT
26396,défonceuse,défoncement,Ncfs,Ncms,@AGF,@RES
26397,défonceuse,défoncer,Ncfs,Vmn----,@AGF,@
26398,défonceuse,défonceur,Ncfs,Ncms,@AGF,@AGM
26513,défricheur,défrichage,Ncms,Ncms,@AGM,@ACT
26514,défricheur,défrichage,Ncms,Ncms,@AGM,@RES
26515,défricheur,défrichement,Ncms,Ncms,@AGM,@ACT
26516,défricheur,défrichement,Ncms,Ncms,@AGM,@RES
26517,défricheur,défricher,Ncms,Vmn----,@AGM,@
26518,défricheur,défricher,Ncms,Vmn----,@AGM,@
26519,défricheur,défricheuse,Ncms,Ncfs,@AGM,@AGF
26520,défricheuse,défrichage,Ncfs,Ncms,@AGF,@ACT
26521,défricheuse,défrichage,Ncfs,Ncms,@AGF,@RES
26522,défricheuse,défrichement,Ncfs,Ncms,@AGF,@ACT
26523,défricheuse,défrichement,Ncfs,Ncms,@AGF,@RES
26524,défricheuse,défricher,Ncfs,Vmn----,@AGF,@
26525,défricheuse,défricher,Ncfs,Vmn----,@AGF,@
26526,défricheuse,défricheur,Ncfs,Ncms,@AGF,@AGM
26643,dégauchisseuse,dégauchir,Ncfs,Vmn----,@AGF,@
26644,dégauchisseuse,dégauchir,Ncfs,Vmn----,@AGF,@
26645,dégauchisseuse,dégauchissage,Ncfs,Ncms,@AGF,@ACT
26646,dégauchisseuse,dégauchissage,Ncfs,Ncms,@AGF,@RES
26647,dégauchisseuse,dégauchissement,Ncfs,Ncms,@AGF,@ACT
26648,dégauchisseuse,dégauchissement,Ncfs,Ncms,@AGF,@RES
26664,dégazeur,dégazage,Ncms,Ncms,@AGM,@ACT
26665,dégazeur,dégazage,Ncms,Ncms,@AGM,@RES
26666,dégazeur,dégazer,Ncms,Vmn----,@AGM,@
26667,dégazeur,dégazer,Ncms,Vmn----,@AGM,@
26718,dégermeur,dégermage,Ncms,Ncms,@AGM,@ACT
26719,dégermeur,dégermage,Ncms,Ncms,@AGM,@RES
26720,dégermeur,dégermer,Ncms,Vmn----,@AGM,@
26721,dégermeur,dégermer,Ncms,Vmn----,@AGM,@
26722,dégermeur,dégermeuse,Ncms,Ncfs,@AGM,@AGF
26723,dégermeuse,dégermage,Ncfs,Ncms,@AGF,@ACT
26724,dégermeuse,dégermage,Ncfs,Ncms,@AGF,@RES
26725,dégermeuse,dégermer,Ncfs,Vmn----,@AGF,@
26726,dégermeuse,dégermeur,Ncfs,Ncms,@AGF,@AGM
26764,dégivreur,dégivrage,Ncms,Ncms,@AGM,@ACT
26765,dégivreur,dégivrage,Ncms,Ncms,@AGM,@RES
26766,dégivreur,dégivrer,Ncms,Vmn----,@AGM,@
26889,dégonfleur,dégonflage,Ncms,Ncms,@AGM,@ACT
26890,dégonfleur,dégonflage,Ncms,Ncms,@AGM,@RES
26891,dégonfleur,dégonflement,Ncms,Ncms,@AGM,@ACT
26892,dégonfleur,dégonflement,Ncms,Ncms,@AGM,@RES
26893,dégonfleur,dégonfler,Ncms,Vmn----,@AGM,@
26894,dégonfleur,dégonfler,Ncms,Vmn----,@AGM,@
26895,dégonfleur,dégonfleuse,Ncms,Ncfs,@AGM,@AGF
26896,dégonfleuse,dégonflage,Ncfs,Ncms,@AGF,@ACT
26897,dégonfleuse,dégonflage,Ncfs,Ncms,@AGF,@RES
26898,dégonfleuse,dégonflement,Ncfs,Ncms,@AGF,@ACT
26899,dégonfleuse,dégonflement,Ncfs,Ncms,@AGF,@RES
26900,dégonfleuse,dégonfler,Ncfs,Vmn----,@AGF,@
26901,dégonfleuse,dégonfler,Ncfs,Vmn----,@AGF,@
26902,dégonfleuse,dégonfleur,Ncfs,Ncms,@AGF,@AGM
26939,dégorgeur,dégorgeage,Ncms,Ncms,@AGM,@ACT
26940,dégorgeur,dégorgeage,Ncms,Ncms,@AGM,@RES
26941,dégorgeur,dégorgement,Ncms,Ncms,@AGM,@ACT
26942,dégorgeur,dégorgement,Ncms,Ncms,@AGM,@RES
26943,dégorgeur,dégorger,Ncms,Vmn----,@AGM,@
26944,dégorgeur,dégorger,Ncms,Vmn----,@AGM,@
26945,dégorgeur,dégorgeuse,Ncms,Ncfs,@AGM,@AGF
26946,dégorgeuse,dégorgeage,Ncfs,Ncms,@AGF,@ACT
26947,dégorgeuse,dégorgeage,Ncfs,Ncms,@AGF,@RES
